City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,2.28,61,73,16.68,TF,1689385922
1,korla,41.7597,86.1469,34.25,15,0,3.84,CN,1689385922
2,namibe,-15.1961,12.1522,19.56,41,0,2.76,AO,1689385923
3,kone,-21.0595,164.8658,24.17,45,61,4.89,NC,1689385923
4,thompson,55.7435,-97.8558,12.09,94,100,4.12,CA,1689385739
5,puerto natales,-51.7236,-72.4875,-2.83,93,95,0.35,CL,1689385923
6,hamilton,39.1834,-84.5333,27.47,65,0,2.57,US,1689385658
7,puerto aysen,-45.4,-72.7,3.7,98,100,1.31,CL,1689385627
8,blackmans bay,-43.0167,147.3167,9.07,80,32,5.31,AU,1689385924
9,hawaiian paradise park,19.5933,-154.9731,27.73,72,40,5.66,US,1689385925
10,pacific grove,36.6177,-121.9166,23.78,87,40,3.6,US,1689385713
11,ust-nera,64.5667,143.2,28.15,37,0,2.36,RU,1689385925
12,pedernales,18.0384,-71.744,28.23,62,98,2.41,DO,1689385926
13,dunedin,-45.8742,170.5036,13.22,62,38,1.79,NZ,1689385656
14,ahtari,62.554,24.0619,10.89,96,77,1.5,FI,1689385927
15,waitangi,-43.9535,-176.5597,9.9,84,100,0.89,NZ,1689385927
16,tazovsky,67.4667,78.7,10.68,62,26,2.15,RU,1689385927
17,el granada,37.5027,-122.4694,31.62,85,100,8.75,US,1689385928
18,olonkinbyen,70.9221,-8.7187,5.11,98,100,6.64,SJ,1689385928
19,adamstown,-25.066,-130.1015,21.5,77,4,5.81,PN,1689385928
20,st. john's,47.5649,-52.7093,18.66,88,75,6.69,CA,1689385814
21,vallegrande,-18.4897,-64.1069,8.22,96,100,1.58,BO,1689385929
22,bay roberts,47.5999,-53.2648,18.86,94,94,3.43,CA,1689385929
23,vilyuchinsk,52.9306,158.4028,14.15,93,100,0.58,RU,1689385930
24,ilulissat,69.2167,-51.1,6.01,93,100,1.54,GL,1689385930
25,vorkuta,67.5,64.0,14.09,58,13,1.75,RU,1689385930
26,sittwe,20.15,92.9,26.77,85,14,4.93,MM,1689385931
27,la sarre,48.8002,-79.1996,20.47,58,71,4.11,CA,1689385931
28,port lincoln,-34.7333,135.8667,13.03,62,100,7.72,AU,1689385931
29,port douglas,-16.4833,145.4667,24.2,61,49,6.84,AU,1689385931
30,san luis de la loma,17.2706,-100.8939,27.73,81,29,2.15,MX,1689385932
31,albany,42.6001,-73.9662,23.23,90,2,0.45,US,1689385924
32,stanley,54.868,-1.6985,14.32,93,75,3.09,GB,1689385652
33,el salto,20.3333,-104.5,18.72,94,100,1.35,MX,1689385933
34,huanggang,23.677,116.9996,31.94,68,100,1.46,CN,1689385933
35,saipan,15.1355,145.701,31.39,100,20,5.66,MP,1689385933
36,grytviken,-54.2811,-36.5092,-3.58,69,1,3.23,GS,1689385934
37,barra de santo antonio,-9.4047,-35.5072,23.6,86,14,2.84,BR,1689385934
38,bethel,41.3712,-73.414,24.31,83,100,0.27,US,1689385934
39,codrington,-38.2667,141.9667,11.87,71,100,5.66,AU,1689385935
40,okha,53.5739,142.9478,17.54,60,0,5.77,RU,1689385935
41,malmberget,67.1753,20.6549,9.31,87,100,1.03,SE,1689385935
42,puerto ayora,-0.7393,-90.3518,25.31,91,62,2.24,EC,1689385937
43,sitka,57.0531,-135.33,13.94,88,100,2.06,US,1689385709
44,kerikeri,-35.2268,173.9474,16.38,65,30,3.53,NZ,1689385937
45,meadow lake,34.8014,-106.5436,37.71,12,8,3.89,US,1689385938
46,oranjemund,-28.55,16.4333,13.89,63,0,1.85,NA,1689385938
47,jamestown,42.097,-79.2353,21.8,73,0,0.0,US,1689385771
48,burang,30.25,81.1667,12.63,76,71,1.91,CN,1689385938
49,leninskoye,41.7589,69.3864,26.8,23,0,4.82,KZ,1689385939
50,nantucket,41.2835,-70.0995,22.22,100,40,5.14,US,1689385939
51,redding,40.5865,-122.3917,42.44,21,0,2.57,US,1689385939
52,kargil,34.5667,76.1,16.28,33,5,1.19,IN,1689385940
53,remire-montjoly,4.9167,-52.2667,25.02,94,75,1.54,GF,1689385747
54,tatarsk,55.219,75.9828,18.65,78,94,5.9,RU,1689385940
55,hermanus,-34.4187,19.2345,14.01,74,0,3.96,ZA,1689385940
56,lata,40.1629,-8.3327,18.37,97,36,1.59,PT,1689385941
57,kharp,66.8014,65.8081,17.56,58,12,2.14,RU,1689385941
58,wailua homesteads,22.0669,-159.378,28.44,72,20,5.66,US,1689385941
59,hernando,28.5419,-82.4582,29.9,83,0,2.06,US,1689385942
60,bredasdorp,-34.5322,20.0403,12.12,67,2,3.4,ZA,1689385942
61,crane,31.3974,-102.3501,34.95,20,40,7.93,US,1689385943
