City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lorengau,-2.0226,147.2712,300.21,82,100,4.61,PG,1689371453
1,bethel,41.3712,-73.414,300.64,77,40,4.63,US,1689370878
2,carnarvon,-24.8667,113.6333,286.84,64,0,9.01,AU,1689371000
3,portland,45.5234,-122.6762,307.1,33,0,4.12,US,1689371159
4,laguna,38.421,-121.4238,312.62,25,0,4.12,US,1689371085
5,ta`u,-14.2336,-169.5144,300.01,79,99,7.36,AS,1689371003
6,alofi,-19.0595,-169.9187,296.09,94,97,6.17,NU,1689371117
7,thompson,55.7435,-97.8558,284.24,100,100,3.09,CA,1689370924
8,iqaluit,63.7506,-68.5145,280.0,100,100,1.54,CA,1689370913
9,badger,64.8,-147.5333,293.1,62,75,1.54,US,1689370890
10,port elizabeth,-33.918,25.5701,288.31,67,0,2.06,ZA,1689370640
11,college,64.8569,-147.8028,293.14,63,75,1.54,US,1689370867
12,vernon,50.2581,-119.2691,304.6,26,66,1.03,CA,1689370925
13,kununurra,-15.7667,128.7333,288.14,88,14,0.0,AU,1689370789
14,lazaro cardenas,17.9583,-102.2,304.9,64,69,6.12,MX,1689371456
15,tabou,4.423,-7.3528,298.14,86,27,3.63,CI,1689371015
16,grytviken,-54.2811,-36.5092,269.74,66,2,3.02,GS,1689370865
17,waitangi,-43.9535,-176.5597,282.49,93,79,1.34,NZ,1689370888
18,conception bay south,47.4999,-52.9981,294.68,82,84,4.59,CA,1689371021
19,fortuna,40.5982,-124.1573,295.89,73,20,7.2,US,1689371083
20,mount isa,-20.7333,139.5,283.02,100,75,3.09,AU,1689370984
21,luderitz,-26.6481,15.1594,288.34,57,0,2.47,NA,1689370978
22,puerto baquerizo moreno,-0.9,-89.6,299.7,78,75,4.12,EC,1689370910
23,blackmans bay,-43.0167,147.3167,282.22,77,100,4.58,AU,1689370863
24,port-aux-francais,-49.35,70.2167,275.66,59,92,15.45,TF,1689370860
